grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,N,F5,1134.308,59.2592,1649.657,0.2071315,0.162,594.977
Grade01,N,F1,3140.609,59.2582,1811.135,1.100155,0.6650097,801.6938
Grade01,N,F2,2938.658,59.2582,1755.782,0.6650097,0.3920858,755.4302
Grade01,N,F3,2022.495,59.2582,1707.467,0.3920858,0.2695809,616.476
Grade01,N,F4,1620.36,59.2582,1655.767,0.2695809,0.2082018,655.2275
Grade01,N,F5,1105.165,59.2582,1603.463,0.2082018,0.1619568,594.977
Grade01,N,F1,2785.496,58.2891,1815.032,1.112574,0.7222016,801.6938
Grade01,N,F2,2590.986,58.2891,1766.787,0.7222016,0.4597468,755.4302
Grade01,N,F3,1780.471,58.2891,1723.259,0.4597468,0.3325788,616.476
Grade01,N,F4,1436.324,58.2891,1677.287,0.3325788,0.2669623,655.2275
Grade01,N,F5,1016.212,58.2891,1632.375,0.2669623,0.2126861,594.977
Grade01,N,F1,2845.556,57.0783,1842.319,1.097548,0.6783673,801.6938
Grade01,N,F2,2646.156,57.0783,1795.17,0.6783673,0.410999,755.4302
Grade01,N,F3,1914.928,57.0783,1753.508,0.410999,0.2832611,616.476
Grade01,N,F4,1511.301,57.0783,1709.544,0.2832611,0.2206501,655.2275
Grade01,N,F5,905.8418,57.0783,1665.327,0.2206501,0.1769456,594.977
Grade01,N,F1,2747.236,57.1093,1834.785,1.099588,0.6967092,801.6938
Grade01,N,F2,2646.049,57.1093,1785.017,0.6967092,0.4245324,755.4302
Grade01,N,F3,1760.427,57.1093,1740.897,0.4245324,0.3025657,616.476
Grade01,N,F4,1469.484,57.1093,1693.355,0.3025657,0.2393978,655.2275
Grade01,N,F5,1023.437,57.1093,1646.95,0.2393978,0.1892978,594.977
Grade01,N,F1,2854.805,56.8617,1832.945,1.100885,0.675453,801.6938
Grade01,N,F2,2612.584,56.8617,1783.509,0.675453,0.411862,755.4302
Grade01,N,F3,1854.251,56.8617,1739.265,0.411862,0.2878946,616.476
Grade01,N,F4,1511.021,56.8617,1692.711,0.2878946,0.2256416,655.2275
Grade01,N,F5,1055.765,56.8617,1646.232,0.2256416,0.1771851,594.977
Grade01,N,F1,2573.012,56.4536,1816.105,1.111228,0.7388481,801.6938
Grade01,N,F2,2316.65,56.4536,1768.666,0.7388481,0.4828067,755.4302
Grade01,N,F3,1564.247,56.4536,1725.562,0.4828067,0.3564326,616.476
Grade01,N,F4,1307.554,56.4536,1680.043,0.3564326,0.291999,655.2275
Grade01,N,F5,945.2663,56.4536,1635.887,0.291999,0.2329492,594.977
Grade01,N,F1,3294.104,59.4001,1834.288,1.217866,0.7166374,801.6938
Grade01,N,F2,2838.45,59.4001,1790.308,0.7166374,0.4237591,755.4302
Grade01,N,F3,1969.604,59.4001,1749.556,0.4237591,0.2939335,616.476
Grade01,N,F4,1655.839,59.4001,1705.668,0.2939335,0.2252526,655.2275
Grade01,N,F5,1084.71,59.4001,1664.033,0.2252526,0.1760751,594.977
Grade01,N,F1,3119.817,59.6006,1824.185,1.111172,0.6869521,801.6938
Grade01,N,F2,2929.088,59.6006,1775.089,0.6869521,0.4122374,755.4302
Grade01,N,F3,2025.724,59.6006,1731.225,0.4122374,0.2869753,616.476
Grade01,N,F4,1643.037,59.6006,1685.362,0.2869753,0.2236423,655.2275
Grade01,N,F5,1130.67,59.6006,1640.32,0.2236423,0.1762416,594.977
Grade01,N,F1,3129.732,59.6626,1820.273,1.112677,0.6905102,801.6938
Grade01,N,F2,2974.404,59.6626,1774.016,0.6905102,0.4145374,755.4302
Grade01,N,F3,2021.328,59.6626,1733.397,0.4145374,0.2878828,616.476
Grade01,N,F4,1629.901,59.6626,1689.615,0.2878828,0.2243211,655.2275
Grade01,N,F5,1147.995,59.6626,1646.122,0.2243211,0.1762297,594.977
Grade01,N,F1,3135.626,59.1294,1827.091,1.106492,0.6758271,801.6938
Grade01,N,F2,3056.036,59.1294,1780.016,0.6758271,0.3944177,755.4302
Grade01,N,F3,2067.233,59.1294,1739.073,0.3944177,0.2691136,616.476
Grade01,N,F4,1663.97,59.1294,1694.63,0.2691136,0.2072938,655.2275
Grade01,N,F5,1151.896,59.1294,1650.055,0.2072938,0.162074,594.977
Grade01,S,F1,2422.057,55.5894,1849.486,1.207245,0.7861817,801.6938
Grade01,S,F2,2418.079,55.5894,1801.039,0.7861817,0.4933646,755.4302
Grade01,S,F3,1632.146,55.5894,1757.308,0.4933646,0.3471459,616.476
Grade01,S,F4,1370.743,55.5894,1711.688,0.3471459,0.2775985,655.2275
Grade01,S,F5,845.6548,55.5894,1667.392,0.2775985,0.2246127,594.977
Grade01,S,F1,2555.677,54.8403,1803.902,1.115909,0.7232753,801.6938
Grade01,S,F2,2391.012,54.8403,1756.415,0.7232753,0.4610778,755.4302
